LINE	TNP_BLUP
1701	8.61040567770744
1702	9.28797625673708
1703	8.89440695234708
1704	7.53245248379666
1705	7.59404980916299
1706	8.07346090019321
1707	8.57960701502428
1708	8.36401637624212
1709	7.51102641822191
1710	8.51800968965795
1711	8.08682841209364
1712	8.05602974941047
1713	6.82408324208386
1714	7.80226442540615
1715	7.16286853159868
1716	7.87123777331148
1717	7.99443242404414
1718	7.54743116911994
1719	7.83866917630419
1720	8.05709768169237
1721	8.24082172550946
1722	7.47085515843033
1723	8.51800968965795
1724	7.5016538211135
1725	8.51800968965795
1726	10.0579428238162
1727	8.33321771355896
1728	7.51102641822191
1729	7.99443242404414
1730	8.20271668528449
1731	9.07643070683723
1732	8.42114519067268
1733	8.64120434039061
1734	7.54743116911994
1735	8.34833568887661
1736	8.53035944336677
1737	8.27162038819263
1738	8.30241905087579
1739	7.21978841103766
1740	7.32900266373175
1741	7.10127120623235
1742	7.94788342899828
1743	7.65664542181403
1744	7.47085515843033
1745	7.69305017271206
1746	7.13206986891552
1747	7.44005649574717
1748	8.17922440014313
1749	8.2100230628263
1750	7.19366719428185
1751	8.2100230628263
1752	8.08682841209364
1753	8.36401637624212
1754	9.84235218503405
1755	7.96363376136098
1756	9.38037224478657
1757	8.67597844695889
1758	9.47276823283607
1759	8.23912143618252
1760	8.7336003284401
1761	10.3043321252815
1762	9.18564495953132
1763	9.22204971042935
1764	8.48721102697479
1765	8.17922440014313
1766	8.76439899112327
1767	8.70280166575694
1768	8.38474043977465
1769	9.38037224478657
1770	10.4891241013805
1771	9.90394951040038
1772	8.64120434039061
1773	8.85679497917277
1774	8.30241905087579
1775	7.87123777331148
1776	9.50356689551923
1777	9.16478160600442
1778	8.17922440014313
1779	8.14842573745997
1780	8.96721645414314
1781	9.4040734649195
1783	9.56516422088557
1784	9.93474817308355
1787	8.23912143618252
1788	8.1176270747768
1789	9.41117090746974
1790	9.0400259559392
1791	7.5016538211135
1792	7.52738963672275
1793	9.5343655582024
1794	8.9183923045391
1795	8.36401637624212
1796	8.45641236429162
1797	9.80452572479784
1798	8.97998962990543
1800	9.13398294332125
1802	8.54880835234112
1804	8.27162038819263
1805	9.59596288356873
1806	7.03967388086602
1808	7.07047254354919
1809	8.51800968965795
1810	8.5667641942648
1811	9.99634549844988
1812	8.20271668528449
1813	9.07643070683723
EZ5	8.70280166575694
GS179	7.78058782336776
GS190	7.11299965504621
GS193	7.11299965504621
GS202	7.33552904448673
GS208	13.3438225593807
GS209	8.00311721280828
GS210	7.78058782336776
GS211	7.48089418319713
GS212	8.2256466022488
GS217	8.44817599168932
GS218	12.0086462227376
GS228	9.11576416001087
GS230	9.11576416001087
GS232	8.44817599168932
GS233	8.44817599168932
GS234	8.44817599168932
GS235	8.00311721280828
L1	11.5319122355061
L10	7.409257833064
L11	8.42561370160845
L13	8.2100230628263
L14	8.43750840917351
L15	8.61953216366367
L16	9.71167469060459
L17	9.01078829258859
L18	8.27162038819263
L19	7.7094133912129
L2	10.9858409720357
L20	8.96721645414314
